ID, Rinkname, Phone, Email, Website, LineOne, LineTwo, City, State, Zip, Description
41,Butler Roller Rink,414-881-6260,,,12400 West Custer Avenue,,Butler,WI,53007,WI057
42,Cal Skate - Clovis,559-291-0242,calskateclovis@sbcglobal.net,http://www.calskateclovis.net,2881 Peach,,Clovis,CA,93612,CA139
43,Cal Skate of Chico,530-343-1601,mikeseko@yahoo.com,http://www.calskatechico.com,2465 Carmichael Drive,,Chico,CA,95928,CA048
44,Cal Skate of Milpitas,408-946-1366,calsk8@sbcglobal.net,http://www.calskatemilpitas.com,980 Los Coches Street,,Milpitas,CA,95035,CA151
45,Cal Skate of Rohnert Park,707-585-0494,skate@calskaterp.com,http://www.calskate.com,6100 Commerce Boulevard,,Rohnert Park,CA,94928,CA140
46,California Skate Grand Terrace,909-783-2844,kacy@calskategt.com,http://www.calskategt.com,22080 Commerce Way,,Grand Terrace,CA,92313,CA178
47,Capelli's TraXside Skating,262-763-4410,capelliskating@sbcglobal.net,http://www.Traxsideskating.com,637 South Kane Street,,Burlington,WI,53105,WI001
48,Carousel Family Fun Center of Fairhaven,508-996-4828,charcarosl@aol.com,http://www.carouselskate.com,4 David Drown Boulevard,,Fairhaven,MA,2719,MA049
49,Carousel Family Fun Center of Whitman,781-857-1286,,http://www.carouselskate.com,1055 Auburn Street,,Whitman,MA,2382,MA052
50,Carousel Skate Center,256-534-8589,stephanieberanekcomeskate@gmail.com,http://www.carouselskatecenter.com,1201 Winner Avenue,,Huntsville,AL,35805,AL018
51,Carousel Skate Center,316-942-4505,,http://WWW.CAROUSELSKATE.NET,312 North West Street,,Wichita,KS,67203,KS022
52,Carousel Skate Incorporated,605-332-7915,chris@carousel-skate.com,http://www.carousel-skate.com,2901 West Third Street,,Sioux Falls,SD,57104,SD002
53,Car-Vel Skate Center,210-684-8900,texasmartini@aol.com,http://www.car-vel.com,6807 Bandera Road,,San Antonio,TX,78238-1359,TX373
54,Cascade Family Skating,404-699-9559,goldenglide@msn.com,http://www.atlantarollerskating.com,3335 MLK Jr. Drive,,Atlanta,GA,30331,GA112
55,Castle Skateland,513-683-6666,lharper420@aol.com,http://www.castleskateland.com,980 Loveland-Madeira Road,,Loveland,OH,45140,OH076
56,Centralia Rollerdrome,360-736-7376,cray8610@msn.com,,216 West Maple,,Centralia,WA,98531,WA001
57,Chagrin Valley Roller Rink,440-247-4224,iklatka@gmail.com,http://www.cvrr.com,7151 Chagrin Road,,Chagrin Falls,OH,44022,OH148
58,Chamlee Skating Club,706-734-7122,,,78 Tate Road,,Trion,GA,30753,GA106
59,Champion Rollarena,330-307-3660,kbrain1971@aol.com,http://www.championskate.com,5040 Mahoning Avenue,,Warren,OH,44483,OH056
60,Champions Roller World,,skatechampions@yahoo.com,http://www.skatechampions.com,5504 Fellowship Ln,,Spring,TX,77379,TX231
61,Champs Camelot Rollerdrome,502-425-1302,joe@champskate.com,,9851 Old Lagrange Road,,Louisville,KY,40241,KY074
62,Champs Skate Center,859-268-3888,tina@champskate.com,http://www.champskate.com,297 Ruccio Way,,Lexington,KY,40503,KY082
63,Cheap Skate Funarama Inc.,763-427-8981,,http://www.cheapskatecr.com,3075 Coon Rapids Boulevard,,Coon Rapids,MN,55304,MN029
64,Cherry Hill Skating Center,856-795-1919,trendfree@aol.com,http://www.cherryhillskatingcenter.com,664 Deer Road,,Cherry Hill,NJ,8034,NJ031
65,Chester Skateland,301-577-5776,,,2300 Southland Drive,,Chester,VA,23831,VA054
66,Christiana Skating Center,302-366-0473,,http://www.christianaskatingcenter.biz,801 Christiana Road,,Newark,DE,19713,DE002
67,Circle D Skating Rink,740-474-4751,circledrecreation@verizon.net,http://www.circled-rec.com,144 East Main Street,,Circleville,OH,43113,OH072
68,Circle J Skate,618-943-9064,crjsk@midwest.net,http://www.circlejskate.com,State Route 1,,Lawrenceville,IL,62439,IL127
69,Classic Fun Center,,classicfuncenter@gmail.com,http://classicfuncenter.com,9155 S 255 W,,Sandy,UT,84070,UT017
70,Cleveland Skate Place,423-472-1010,skate@clevelandskateplace.com,http://www.clevelandskateplace.com,2100 Candies Lane,,Cleveland,TN,37311,TN095
71,Club Arena Skating Rink,859-986-3881,georgewyatt@windstream.net,http://www.berea.cc/clubarena,211 North Broadway,,Berea,KY,40403,KY069
72,CN Skate Palace,610-494-4442,info@cnskatepalace.com,http://www.cnskatepalace.com,3471 Concord Road,,Aston,PA,19014,PA150
73,Coachlite Skate Center,630-893-0298,skateinfo@coachliteskate.com,http://www.coachliteskate.com,1291 Bryn Mawr,,Roselle,IL,60172,IL123
74,Coachlite Skate Center,314-220-0846,,,3754 Pennridge Drive,,Bridgeton,MO,63044,MO058
75,Columbia Skate Palace,386-755-2232,sk8palace@hotmail.com,,357 N.W. Hall of Fame Drive,,Lake City,FL,32055,FL225
76,Columbia Skateland,330-878-5811,,,6388 Studer Drive NW,,Dover,OH,44622,OH089
77,Columbus Event Center,,rink@columbuseventcenter.com,,3868 63rd Avenue,,Columbus,NE,68601,NE045
78,Columbus Skateland,812-372-6677,columbusrollerrink@sbcglobal.net,http://www.columbusskateland.com,2660 North Talley Road,,Columbus,IN,47203-9352,IN035
79,Conaway's Rollerway,260-668-2045,conawaysrollerway@hotmail.com,http://www.conawaysrollerway.com,2160 W 175 N,,Angola,IN,46703,IN119
80,Conway Roller Rink Inc,,knute23@yahoo.com,http://www.conwayrollerrink.net,Highway 64 West,,Conway,AR,72032,AR056
81,Cordova Skating Center,901-755-0221,hockeelady@aol.com,,7970 Club Center Drive,,Cordova,TN,38018,TN084
82,Cortland Skateland Inc,330-637-4078,,,290 South High Street,,Cortland,OH,44410,OH053
83,Cosmic Skate & Play,717-762-7177,dan@cosmicskate.com,http://http://www.cosmicskate.com/,11870 Buchanan Trail East,,Waynesboro,PA,17268,PA216
84,Cotsamire's Skateland,419-562-6002,,,233 East Mansfield Street,,Bucyrus,OH,44820,OH182
85,Country Skateland,440-775-0550,,,45841 State Route 303,,Oberlin,OH,44074,OH162
86,Criss-Cross Roller Skating & Entertainment Center,570-837-0649,xmoto5@yahoo.com,http://www.crisscrossfun.com,12 North Creamery Ave.,,Middleburg,PA,17842,PA171
87,Crystal Palace Skate Center,702-645-4892,,,3901 North Rancho Road,,Las Vegas,NV,89130,NV010
88,Crystal Palace Skate Center,870-245-3800,george@cpskate.com,http://www.crystalpalaceskatecenter.com,102 Crystal Palace Drive,,Caddo Valley,AR,71923,AR064
89,Crystal Palace Skating Center,702-458-7107,tpoole7@cox.net,,4680 Boulder Highway,,Las Vegas,NV,89121,NV004
90,Da Jump Off Skating Rink LLC,985-340-4007,,,42411 Buzzetta Lane,,Hammond,LA,70403,LA086
91,Dad's Broadway Skateland,972-279-0421,dadsbroadway@tx.rr.com,http://www.dadsbroadway.com,3022 Moon Drive,,Mesquite,TX,75150,TX020
92,Dairy Ashford Roller Rink,281-493-5651,skatedairyashford@yahoo.com,http://www.skatedairyashford.com,1820 Dairy Ashford Road,,Houston,TX,77077,TX099
93,Dazzles,770-489-9519,,,3844 Longview Drive,,Douglasville,GA,30135,GA100
94,Dazzles II,770-460-8788,,,193 North 85 Business Pkwy,,Fayetteville,GA,30214,GA101
95,Del Monte Gardens,831-375-3202,keithdmg@earthlink.net,http://www.delmonteskate.com,2020 Del Monte Avenue,,Monterey,CA,93940,CA032
96,Deleta Skating,208-237-6298,deleta1@ida.net,,520 Yellowstone,,Pocatello,ID,83201,ID004
97,Deltona Skating Center,386-860-2710,deltonaskate@cfl.rr.com,http://www.deltonaskate.com,1680 Doyle Road,,Deltona,FL,32738,FL204
98,Depew Skating Center,716-681-6881,,,5287 Transit Road,,Depew,NY,14043,NY061
99,Deptford Skating Center,856-845-7353,rolldsc@gmail.com,http://www.deptfordskatingandfun.com,510 Deptford Avenue,,Westville,NJ,8093,NJ028
100,Detroit Roller Wheels,313-837-7680,,,16611 Schoolcraft,,Detroit,MI,48227,MI134
101,Dimond Skateland,907-345-0542,caldwell@gci.net,http://www.dimondskateland.com,8100 Homer Drive,,Anchorage,AK,99516,AK005
102,Dixie Skateland,313-289-1150,tmbrns03@gmail.com,,5179 North Dixie Highway,,Newport,MI,48166,MI002
103,DJ's Fun City LLC,,city@bellsouth.net,http://www.djsfuncity.com,2248 Highway 171,,DeRidder,LA,70634,LA049
104,Doc's Roller Review,717-944-7866,sk8doctor@docsfamilyfuncenter.com,http://http://www.docsfamilyfuncenter.com,1733 East Harrisburg Pike,,Middletown,PA,17057,PA027
105,Dominion Skating Center,540-825-3141,dominionsk8ting@yahoo.com,,1550 North Main Street,,Culpeper,VA,22701,VA045
106,Dover Skating Center Ltd,302-697-3219,doverskate@aol.com,http://www.doverskatecenter.com,2201 S DuPont Highway,,Dover,DE,19901,DE004
107,Dream Land Skating Arena,843-369-2055,,,4475 Privetts Road,,Conway,SC,29526,SC067
108,Dreamland Skate Center,251-661-6997,hp1742@aol.com,http://www.dreamlandskatecenter.com,5672 Three Notch Road,,Mobile,AL,36619,AL078
109,Dreamland Skating Center Inc,850-478-3994,bobby@myskatecenter.com,http://www.myskatecenter.com,2607 Olive Road,,Pensacola,FL,32514,FL022
110,D'sajs Skate & Fun Zone,601-736-1124,jewjohns1@aol.com,,1678 Highway 13 N,,Columbia,MS,39429,MS042
111,East End Skating Center,901-363-7785,hockeelady@aol.com,,5718 Mount Moriah,,Memphis,TN,38115,TN001
112,East Lake Skate Center,574-269-5342,tracesk8s@yahoo.com,http://www.eastlakeskate.com,3010 East Frontage Road,,Warsaw,IN,46580,IN087
113,Eastern Hills Skating Center Inc,716-633-6060,,,4675 Transit Road,,Buffalo,NY,14231,NY172
114,Edgewood Skate Arena,419-331-0647,skatearena@embarqmail.com,http://www.myspace/edgewoodskatearena,2170 Edgewood Drive,,Lima,OH,45805,OH036
115,Edru Roller Skate-A-Rama,517-699-2001,bdkoziara@bonaventureskate.com,http://www.skatarama.com,1891 North Cedar Street,,Holt,MI,48842,MI006
116,Eight Wheeler,217-243-4121,,,1204 South Lincoln Avenue,,Jacksonville,IL,62650,IL050
117,Ellhurst L.L.C.,724-924-2064,,,4203 Old Rt. 422,,New Castle,PA,16101,PA208
118,Emery Brothers Skating Rink,618-997-3080,pattyskate1@verizon.net,,1700 North Court,,Marion,IL,62959,IL028
119,Evan?s Skateland West,814-833-0740,,,3162 W Lake Rd,,Erie,PA,16505,PA022
120,Evan's Skateland,716-664-7351,,,50 Harrison,,Jamestown,NY,14701,NY014
121,Extreme Action Park,252-946-6076,extremeactionpark@yahoo.com,http://www.extremeactionpark.net,1878 Highway 17 South,,Chocowinity,NC,27817,NC101
122,Extreme Skate Zone,601-261-5330,extremeskatezone@hotmail.com,,5272 Old Highway 11,,Hattiesburg,MS,39402,MS040
123,Patches Bell,,bertrand@kaplantel.net,,,,,,,LA083
124,Family Fun Central,870-972-0400,,http://www.familyfuncentral.com,2700 Phillips Drive,,Jonesboro,AR,72401,AR020
125,Family Fun Inc,574-848-4110,skate@ebysfamilyfun.com,http://www.ebysfamilyfun.com,14583 S.R. 120,,Bristol,IN,46507,IN116
126,Fantasy Skating Center,610-929-3147,sk8bell3@juno.com,http://www.fantasysk8ing.com,500 George Street,,Reading,PA,19605,PA167
127,Fantasyland Skate Ctr DBA Uresti-West Mgmt LLC,956-687-5283,fantasylandskate@yahoo.com,,801 W Dove,,McAllen,TX,78504,TX246
128,Fiesta Village Family Fun Park,,,http://www.fiestavillage.com,1405 East  Washington,,Colton,CA,92324,CA249
129,Finley's Fun Center,606-864-9622,jeremy@finleysfuncenter.com,http://www.finleysfuncenter.com,1356 South Laurel Road,,London,KY,40744,KY040
130,Finley's Fun Center,859-236-8808,,http://www.finleysfuncenter.com,3846 Highway 150,,Danville,KY,40422,KY019
131,Finley's Fun Center,606-679-4386,,http://www.finleysfuncenter.com,75 Commercial Drive,,Somerset,KY,42501,KY076
132,Firehouse Skate 'N Play,540-890-2250,hornefh@rbnet.com,http://www.firehousesk8.com,1620 Washington Avenue,,Vinton,VA,24179,VA037
133,Fleetwood Roller Rink,708-458-0300,skatingaround@sbcglobal.net,http://www.fleetwoodrollerrink.com,7231 Archer Avenue,,Summit,IL,60501-0000,IL035
134,Florham Park Roller Rink,201-377-0465,manager@rollerrink.net,http://www.rollerrink.net,192 Ridgedale Avenue,,Florham Park,NJ,7932,NJ010
135,Florida Wheels,941-747-8602,flwbad@aol.com,http://www.floridawheelsskating.com,3611 3rd Street West,,Bradenton,FL,34205,FL044
136,Foothill Skate Inn,916-488-4701,troyandjan@pacbell.net,http://www.foothillskateinn.com,4700 Auburn Boulevard,,Sacramento,CA,95841,CA098
137,Footloose Skating Center,704-982-8665,abajaysk8@aol.com,,2223 Highway 52 North,,Albemarle,NC,28001,NC095
138,Fort Smith Skateland,479-646-2538,bob@jackskateland.com,http://www.jackskateland.com,1413 Phoenix Avenue,,Fort Smith,AR,72901,AR005
139,Forum Rollerworld,972-641-0661,waltskate@yahoo.com,http://www.forumrollerworld.com,1900 South Great SW Parkway,,Grand Prairie,TX,75051,TX024
140,Fountain Valley Skating Ctr,714-847-0022,info@fv-skate.com,http://www.fountainvalleyskatingcenter.com,9105 Recreation Circle,,Fountain Valley,CA,92708,CA129
141,Fountainblu Skating Arena,717-938-3777,skate@fountainblu.com,http://www.fountainblu.com,521 Locust Road,,New Cumberland,PA,17070,PA069
142,Fox Valley Roller Rink,920-722-0004,,,1215 Gillingham Street,,Neenah,WI,54956,WI053
143,Franklin Skate Club,317-738-3775,fskateclub@aol.com,http://www.franklinskateclub.com,2680 North Morton Street,,Franklin,IN,46131,IN020
144,Franklin Skating Center,856-694-2690,,,Route 47,,Franklinville,NJ,8322,NJ011
145,Freckles Skate Center Inc.,,sir3@windstream.net,,2724 Quitman Hwy,,Moultrie,GA,31768,GA002
146,Frenchtown Roller Rink,908-996-6313,kmp317@hotmail.com,http://www.frenchtownrollerrink.com,Highway 29,,Frenchtown,NJ,8825,NJ034
147,Frye's Roller Rink,704-782-5513,rcjiii@fryes4fun.com,http://www.fryes4fun.com,2800 Poplar Tent Road,,Concord,NC,28027,NC006
148,Ft Walton Skating Center Inc.,850-863-1223,allenglo@cox.net,,202 Racetrack Road NW,,Fort Walton Beach,FL,32547,FL063
149,Fun Dome,859-282-9900,,,7864 Commerce Drive,,Florence,KY,41042,KY070
150,Fun Factory Entertainment Inc.,330-332-4455,salemfunfactory@gmail.com,http://www.salemfunfactory.com,520 East Pershing,,Salem,OH,44460,OH113
151,Fun Factory Roller Skating,513-631-7500,scott@funfactoryrollerskating.com,http://funfactoryrollerskating.com,1631 Sherman Avenue,,Cincinnati,OH,45212,OH151
152,Fun 'N Stuff Amusements,800-467-0820,info@fun-n-stuff.com,http://www.fun-n-stuff.com,661 East Highland Road,,Macedonia,OH,44056,OH184
153,Fun Spot Arena,419-693-1421,,,525 Earlwood Avenue,,Oregon,OH,43616,OH031
154,Fun Spot Skating Center,618-234-4502,funspotrocks@sbcglobal.net,http://www.funspotrocks.com,1400 West Boulevard,,Belleville,IL,62221-5056,IL014
155,Funcity,281-316-1383,sjones@funcitysk8.com,http://www.funcitysk8.com,1500 North Texas Avenue,,Webster,TX,77598,TX255
156,Funkys Skate Center,540-433-1834,willstouk@comcast.net,,100 Miller Street,,Harrisonburg,VA,22801,VA040
157,FunQuest Family Ent Skate Ctr,434-239-6411,funquest2@aol.com,http://www.funquestfun.com,327 Graves Mill Road,,Lynchburg,VA,24502,VA013
158,Funquest Skate,901-850-1124,vickie@hartpropertiesgroup.com,http://www.funquestskate.com,440 Highway 72 West,,Collierville,TN,38017,TN088
159,Funtime Skate Ctr,205-631-9206,funtimesk8@aol.com,http://www.myskatecenter.com,3508 Decatur Highway,,Fultondale,AL,35068,AL069
160,Funtime Skateland of Pearl Inc,601-939-0880,,,123 Legion Lake Road,,Pearl,MS,39208,MS008
161,Funtown USA,618-931-5060,funusa@aol.com,,3967 Lake Drive,,Pontoon Beach,IL,62040,IL136
162,Funway Entertainment Center,630-879-8730,fun@funway.com,http://www.funway.com,1335 South River Street,,Batavia,IL,60510,IL092
163,Galaxy Roller Rink,616-684-8197,,,1120 Ontario,,Niles,MI,49120,MI149
164,Galaxy Skateland LLC,304-263-4515,maynardj@ors.od.nih.gov,,1201 North 3rd Street,,Martinsburg,WV,25401,WV031
165,Galaxy Skateway,305-378-6700,joyce@skatingcenters.com,http://www.skatingcenters.com,3737 North Davie Road Ext,,Hollywood,FL,33024,FL077
166,Galaxy Skateway,305-378-6700,joyce@skatingcenters.com,http://www.skatingcenters.com,7500 Southgate Boulevard,,North Lauderdale,FL,33068,FL088
167,Galaxy Skateway,321-242-0789,galaxyskate@aol.com,http://www.galaxyskateandplay.com,1488 Aurora Road,,Melbourne,FL,32935,FL018
168,Galaxy Skating Center,,ycombs@southerneq.com,,4100 W Vernon Ave,,Kinston,NC,28504,NC036
169,Garden Roller Rink,606-928-3055,,,5656 Route 60,,Ashland,KY,41102,KY064
170,Gem Roller Rink,920-734-2123,gemdaddy3717@aol.com,,3717 South Oneida Street,,Appleton,WI,54915,WI013
171,Gemini Skating & Sports LLC,248-608-2858,geminiskatingsports@yahoo.com,http://www.geminiskating.com,1700 South Livernois,,Rochester Hills,MI,48307,MI017
172,Geneva Rollerdrome,315-789-6033,,,214 Lyons Road,,Geneva,NY,14456,NY159
173,George's Skate Center,,geocogswell@hotmail.com,,3710 Green Switch Rd,,Decatur,IL,62526,IL052
174,George's Skate Center,541-567-1429,geosk8cntr@yahoo.com,,922 East Main,,Hermiston,OR,97838,OR002
175,Gibson Arena,765-282-2971,,,2610 South Mock Avenue,,Muncie,IN,47302,IN011
176,Gibson Arena - New Castle,317-529-8181,,,406 North Memorial,,New Castle,IN,47362,IN064
177,Glenwood Roller Rink,708-754-5540,,http://www.glenwoodrollerrinkinc.com,656 Holbrook Road,,Glenwood,IL,60425,IL097
178,Gold Coast Roller Rink,954-523-6783,goldcoastsk8@bellsouth.net,,2604 South Federal Highway,,Fort Lauderdale,FL,33316,FL009
179,Golden Gate Skateland,228-392-4395,,,11169 Lamey Bridge Road,,Biloxi,MS,39540,MS007
180,Golden Glide Roller Skating Rink,404-288-7773,goldenglide@msn.com,http://www.atlantarollerskating.com,2750 Wesley Chapel Road,,Decatur,GA,30034,GA023
181,Good Times Skate Arena,903-677-1168,quessiegoodtime@aol.com,,517 Progress Way,,Athens,TX,75751-5925,TX210
182,GR8SK8,334-297-2223,bhewes@greatnewsinc.com,,1027 US 280 Bypass,,Phenix City,AL,36867,AL097
183,Granbury Skating Rink,817-279-8881,,,1901 West Pearl,,Granbury,TX,76048,TX910
184,Gray-8 Skate,,gray8skate@aol.com,,4151 Gray Hwy,,Gray,GA,31032,GA123
185,Great Day! Skate Place,479-273-1800,rose@yahoo.com,http://www.greatdayskate.com,1615 Moberly Lane,,Bentonville,AR,72712,AR078
186,Great Skate,,niloa@greatskatejefferson.com,,25 Hawkins Lane,,Jefferson,GA,30549,GA127
187,Great Skate Roller Rink Inc,636-441-2530,greatskatemo@sbcglobal.net,http://www.greatskaterollerrink.com,130 Boone Hills Drive,,St Peters,MO,63376,MO100
188,Great Skates,207-945-0202,lsjnd@aol.com,,82 Sylvan Road,,Bangor,ME,4401,ME023
189,Great Skates Fun Center,765-447-8758,rscottlehr@hotmail.com,http://www.greatskates.org,135 South Earl Avenue,,Lafayette,IN,47904,IN110
190,Great Time Skate,281-442-0720,,,14417 Aldine-Westfield,,Houston,TX,77039,TX182
191,Greenbrier Family Skating Center,757-420-0258,gfskate@erols.com,http://www.erols.com/gfskate,1409 Stephanie Way,,Chesapeake,VA,23320,VA096
192,Gresham Skate World Inc,503-667-1647,,,1220 NE Kelly Ave,,Gresham,OR,97030,OR024
193,Griffin Skate Inn Inc,770-227-5283,,,2489 North Expressway,,Griffin,GA,30223,GA079
194,Hall's Skateland Inc.,276-783-2690,skatelady46@yahoo.com,,152 Adwolfe Rd,,Marion,VA,24354,VA105
195,Hamilton Skate Place,423-899-1788,fproctor2@comcast.net,http://www.hamiltonskate.com,7417 Goodwin Road,,Chattanooga,TN,37421,TN091
196,Hansen's Holiday Skate Center,,eastlakeskate@hotmail.com,,28736 CR 20 West,,Elkhart,IN,46517,IN118
197,Happy Wheels of Portland,207-797-7949,,,331 Warren Avenue,,Portland,ME,04103-1106,ME002
198,Harborena Roller Rink,360-532-4483,,,2112 Simpson Avenue,,Hoquiam,WA,98550,WA004
199,Haygood Skating Center,757-460-1138,,,1036 Ferry Plantation Road,,Virginia Beach,VA,23455,VA028
200,Heartland Skateway,325-643-3156,qtrbbowen@verizon.net,,1031 Early Boulevard,,Early,TX,76802,TX195
201,High Roller Skating Center,608-788-7170,email@highrollerskating.com,http://www.highrollerskating.com,3624 East Avenue South,,La Crosse,WI,54601,WI038
202,High Rollers,708-615-9408,montoyawells@yahoo.com,,2037 S 2nd Ave,,Maywood,IL,60153,IL175
203,High Rollers Rec Center,518-843-0783,,,523 County Highway 126,,Amsterdam,NY,12010,NY146
204,Hillsboro Skate World,503-640-1333,,,4395 SE Witch Hazel Road,,Hillsboro,OR,97123,OR046
205,Holiday Skate Center,714-997-5283,holidaysk8@aol.com,http://www.holidayskate.com,175 North Wayfield Drive,,Orange,CA,92867,CA102
206,Holiday Skating Center,760-243-9643,bpskate@aol.com,,14950 Palmdale Road,,Victorville,CA,92392,CA158
207,Holiday Skating Center,856-461-3770,,http://www.holidayskatingcenter.com,1775 Creek Road,,Delanco,NJ,8075,NJ001
208,Hopkinsville's Roller Dome,270-885-3663,wthomas@hopkinsville.net,http://www.rollerdomefunplex.com,1230 Skyline Drive,,Hopkinsville,KY,42240,KY037
209,Horizon Fun F/x Inc,585-865-0493,horizonfx@aol.com,http://www.horizonfunfx.com,675 Ling Road,,Rochester,NY,14612,NY141
210,Hot Skates,516-593-1300,hotskatesrink@cs.com,http://www.hotskates.com,14 Merrick Road,,Lynbrook,NY,11563,NY073
211,Hot Wheels Skate Center,850-478-3994,funtimesk8@aol.com,http://www.myskatecenter.com,228 Farm Ridge Drive,,Woodstock,GA,30188,GA103
212,Hot Wheels Skate Center,931-474-7655,skate@hotwheels-skate.com,http://www.hotwheels-skate.com,154 Hot Wheels Lane,,Mc Minnville,TN,37110,TN087
213,Hot Wheels Skate Center,931-796-6515,dengar727@gmail.com,,Highway 412 West,,Hohenwald,TN,38462,TN082
